,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,,,

Team,Hawks,Atlanta,USA,State Farm Arena,18118,https://gmgames.org/dm16logos/Team0.png,Southeast,Atlanta,Georgia,,,,,,,,,,,,,,,,,,,,,,

Team,Celtics,Boston,USA,TD Garden,18624,https://gmgames.org/dm16logos/Team1.png,Atlantc,Boston,Massachusetts,,,,,,,,,,,,,,,,,,,,,,

Team,Nets,Brooklyn,USA,Barclays Center,17732,https://gmgames.org/dm16logos/Team2.png,Atlantic,Brooklyn,New York,,,,,,,,,,,,,,,,,,,,,,

Team,Hornets,Charlotte,USA,Spectrum Center,19077,https://gmgames.org/dm16logos/Team3.png,Southeast,Charlotte,North Carolina,,,,,,,,,,,,,,,,,,,,,,

Team,Bulls,Chicago,USA,United Center,20917,https://gmgames.org/dm16logos/Team4.png,Central,Chicago,Illinois,,,,,,,,,,,,,,,,,,,,,,

Team,Cavaliers,Cleveland,USA,Rocket Mortgage FieldHouse,19432,https://gmgames.org/dm16logos/Team5.png,Central,Cleveland,Ohio,,,,,,,,,,,,,,,,,,,,,,

Team,Mavericks,Dallas,USA,American Airlines Center,19200,https://gmgames.org/dm16logos/Team6.png,Southwest,Dallas,Texas,,,,,,,,,,,,,,,,,,,,,,

Team,Nuggets,Denver,USA,Pepsi Center,19520,https://gmgames.org/dm16logos/Team7.png,Northwest,Denver,Colorado,,,,,,,,,,,,,,,,,,,,,,

Team,Pistons,Detroit,USA,Little Caesars Arena,20332,https://gmgames.org/dm16logos/Team8.png,Central,Detroit,Michigan,,,,,,,,,,,,,,,,,,,,,,

Team,Warriors,Golden State,USA,Chase Center,18064,https://gmgames.org/dm16logos/Team9.png,Pacific,Oakland,California,,,,,,,,,,,,,,,,,,,,,,

Team,Rockets,Houston,USA,Toyota Center,18055,https://gmgames.org/dm16logos/Team10.png,Southwest,Houston,Texas,,,,,,,,,,,,,,,,,,,,,,

Team,Pacers,Indiana,USA,Bankers Life Fieldhouse,17923,https://gmgames.org/dm16logos/Team11.png,Central,Indianapolis,Indiana,,,,,,,,,,,,,,,,,,,,,,

Team,Clippers,Los Angeles,USA,Staples Center,19068,https://gmgames.org/dm16logos/Team12.png,Pacific,Los Angeles,California,,,,,,,,,,,,,,,,,,,,,,

Team,Lakers,Los Angeles,USA,Staples Center,18997,https://gmgames.org/dm16logos/Team13.png,Pacific,Los Angeles,California,,,,,,,,,,,,,,,,,,,,,,

Team,Grizzlies,Memphis,USA,FedExForum,17794,https://gmgames.org/dm16logos/Team14.png,Southwest,Memphis,Tennessee,,,,,,,,,,,,,,,,,,,,,,

Team,Heat,Miami,USA,American Airlines Arena,19600,https://gmgames.org/dm16logos/Team15.png,Southeast,Miami,Florida,,,,,,,,,,,,,,,,,,,,,,

Team,Bucks,Milwaukee,USA,Fiserv Forum,17500,https://gmgames.org/dm16logos/Team16.png,Central,Milwaukee,Wisconsin,,,,,,,,,,,,,,,,,,,,,,

Team,Timberwolves,Minnesota,USA,Target Center,18978,https://gmgames.org/dm16logos/Team17.png,Northwest,Minneapolis,Minnesota,,,,,,,,,,,,,,,,,,,,,,

Team,Pelicans,New Orleans,USA,Smoothie King Center,16867,https://gmgames.org/dm16logos/Team18.png,Southwest,New Orleans,Louisiana,,,,,,,,,,,,,,,,,,,,,,

Team,Knicks,New York,USA,Madison Square Garden,19812,https://gmgames.org/dm16logos/Team19.png,Atlantic,New York,New York,,,,,,,,,,,,,,,,,,,,,,

Team,Thunder,Oklahoma City,USA,Chesapeake Energy Arena,18203,https://gmgames.org/dm16logos/Team20.png,Northwest,Oklahoma City,Oklahoma,,,,,,,,,,,,,,,,,,,,,,

Team,Magic,Orlando,USA,Amway Center,18846,https://gmgames.org/dm16logos/Team21.png,Southeast,Orlando,Florida,,,,,,,,,,,,,,,,,,,,,,

Team,76ers,Philadelphia,USA,Wells Fargo Center,20478,https://gmgames.org/dm16logos/Team22.png,Atlantic,Philadelphia,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,

Team,Suns,Phoenix,USA,Talking Stick Resort Arena,18055,https://gmgames.org/dm16logos/Team23.png,Pacific,Phoenix,Arizona,,,,,,,,,,,,,,,,,,,,,,

Team,Trail Blazers,Portland,USA,Moda Center,19441,https://gmgames.org/dm16logos/Team24.png,Northwest,Portland,Oregon,,,,,,,,,,,,,,,,,,,,,,

Team,Kings,Sacramento,USA,Golden 1 Center,17583,https://gmgames.org/dm16logos/Team25.png,Pacific,Sacramento,California,,,,,,,,,,,,,,,,,,,,,,

Team,Spurs,San Antonio,USA,AT&T Center,18418,https://gmgames.org/dm16logos/Team26.png,Southwest,San Antonio,Texas,,,,,,,,,,,,,,,,,,,,,,

Team,Raptors,Toronto,Canada,Scotiabank Arena,19800,https://gmgames.org/dm16logos/Team27.png,Atlantic,Toronto,Canada,,,,,,,,,,,,,,,,,,,,,,

Team,Jazz,Utah,USA,Vivint Smart Home Arena,18306,https://gmgames.org/dm16logos/Team28.png,Northwest,Salt Lake City,Utah,,,,,,,,,,,,,,,,,,,,,,

Team,Wizards,Washington,USA,Capital One Arena,20356,https://gmgames.org/dm16logos/Team29.png,Southeast,Washincton,D.C,,,,,,,,,,,,,,,,,,,,,,

NewFranchiseLogo,,,,,,https://gmgames.org/dm16logos/Team30.png,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Type,FirstName,Last Name,Position,Age,Height,Weight,Team ID,Defence,TurnOvers,FTA,FTPerc,2PTA,2PTPerc,3PTA,ThreePerc,OffReb,Fame,DefReb,FastBreak,Assists,Personality,Potential,Steals,Blocks,Stamina,Trait,,,,,

players,Clint,Capela,C,25,210,240,0,78,1.9,5.5,0.55,9.4,0.63,0.4,0.20,3.4,45,6.5,25,1.1,50,68,0.8,1.5,56,,,,,,

players,John,Collins,PF,22,211,235,0,63,1.7,2.3,0.76,11.2,0.55,3.8,0.36,2.6,45,7.5,48,1.4,66,70,0.7,1.7,60,,,,,,

players,DeAndre,Hunter,SF,22,204,225,0,69,1.6,2.7,0.76,6.5,0.41,5.2,0.35,0.8,39,3.7,50,1.8,66,76,0.8,0.3,57,R,,,,,

players,Kevin,Huerter,SG,21,204,190,0,63,0.9,1.3,0.78,5,0.44,6,0.40,0.9,53,3.2,64,3.4,65,71,0.9,0.4,67,,,,,,

players,Trae,Young,PG,21,186,180,0,62,4.9,9.5,0.87,12,0.41,9.5,0.40,0.7,75,3.7,82,9.6,75,72,1.5,0.2,88,HH,,,,,

players,Cam,Reddish,SG,20,207,218,0,66,1.6,2.4,0.80,5.2,0.38,4.2,0.32,0.7,55,3,64,1.8,62,72,1.3,0.5,70,R,,,,,

players,DeAndre,Bembry,SF,25,198,210,0,62,1.4,1.3,0.65,4.5,0.58,1.5,0.24,1,38,2.9,53,2,70,54,1.5,0.4,65,,,,,,

players,Dewayne,Dedmon,C,30,214,245,0,73,1.2,1.4,0.78,3.4,0.55,2.5,0.26,1.5,54,4,38,0.6,64,45,0.5,0.8,58,,,,,,

players,Skal,Labissiere,PF,25,212,235,0,62,1,1.4,0.75,4.2,0.52,0.8,0.34,1.7,"58
",3,53,1.2,77,68,0.3,0.8,63,,,,,,

players,Jeff,Teague,PG,31,192,195,0,68,2,2.7,0.86,4.3,0.47,1.7,0.34,0.4,56,1.9,66,5.1,80,59,1.1,0.3,80,SP,,,,,

players,Vince,Carter,SG,43,201,180,0,72,1.1,2.3,0.79,6.4,0.40,3.7,0.34,0.7,70,2.5,66,2,92,48,0.7,0.6,74,HF,,,,,

players,Brandon,Goodwin,PG,24,183,200,0,57,0.8,1.3,0.85,2.9,0.40,2.4,0.33,0.4,12,1.6,55,1.4,69,75,0.5,0.3,72,,,,,,

players,Bruno,Fernando,PF,21,190,240,0,59,0.9,1.3,0.65,2.8,0.43,1.4,0.20,1.5,20,2.3,40,1,65,71,0.3,0.5,67,R,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

players,Daniel,Theis,C,27,207,245,1,71,0.8,1.8,0.74,3.9,0.43,1.9,0.33,2,59,3.6,53,1.4,70,66,0.6,1.1,66,,,,,,

players,Jayson,Tatum,PF,22,207,210,1,69,1.9,4,0.82,11,0.45,5.5,0.39,1,72,5.5,63,2.5,85,75,1.2,1,75,,,,,,

players,Gordon,Hayward,SF,29,204,225,1,70,2,3.7,0.84,9.5,0.41,4.2,0.38,1,70,4.7,67,3.8,70,63,0.9,0.4,70,SP,,,,,

players,Jaylen,Brown,SG,24,201,223,1,81,1.6,3.7,0.71,10.1,0.42,4.8,0.38,1,68,4.8,75,1.8,72,70,1,0.3,72,,,,,,

players,Kemba,Walker,PG,29,184,184,1,70,2.2,4.6,0.85,8.1,0.39,7.4,0.37,0.7,75,3.3,90,5.2,85,68,1.2,0.4,90,HH,,,,,

players,Marcus,Smart,SG,26,192,220,1,80,1.6,3.2,0.79,5.1,0.37,6.2,0.33,0.8,49,2.8,66,4.4,69,63,1.6,0.5,70,PT,,,,,

players,Enes,Kanter,C,27,212.5,250,1,64,1.3,2.2,0.74,6.4,0.56,0.5,0.30,2.9,52,5,31,1,70,65,0.4,0.6,54,IH,,,,,

players,Semi,Ojeleye,SF,25,201.2,240,1,61,0.7,1,0.75,1.7,0.36,2.2,0.34,0.7,28,2,59,0.8,73,56,0.5,0.5,77,,,,,,

players,Brad,Wanamaker,PG,30,192,210,1,60,1,2.4,0.90,3.5,0.41,2.2,0.36,0.2,25,1.6,64,2.4,65,52,0.6,0.2,71,,,,,,

players,Grant,Williams,PF,21,201,236,1,68,1,1.2,0.72,2.2,0.35,2,0.32,1.3,25,2,50,1,70,68,0.6,0.8,65,R,,,,,

players,Carsen,Edwards,PG,21,180,200,1,58,0.7,1.4,0.80,2,0.32,2.4,0.33,0.4,33,1.3,64,1,65,63,0.6,0.3,77,R,,,,,

players,Robert,Williams III,C,22,207,237,1,64,2,1,0.62,2.4,0.67,0.7,0.25,1.1,"25
",3,35,0.8,65,70,1,1.2,55,,,,,,

players,Romeo,Langford,SG,20,195,216,1,60,0.5,1,0.75,1.5,0.35,1,0.35,0.5,40,1,60,0.5,65,67,0.5,0.5,85,R,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

players,Jarrett,Allen,C,22,212,243,2,80,1.2,3.4,0.67,6.6,0.62,0.5,0.25,2.7,55,6,45,1.2,80,65,0.7,1.5,65,,,,,,

players,Taurean,Prince,PF,25,204,218,2,65,1.9,2.1,0.79,4.1,0.40,6,0.36,0.8,40,4.5,65,2,70,60,1,0.5,70,,,,,,

players,Joe,Harris,SF,28,201,220,2,60,1.3,2.8,0.77,6.8,0.45,5.9,0.41,0.8,44,3,60,1.9,96,64,0.7,0.3,70,,,,,,

players,Caris,LaVert,SG,26,201.2,205,2,71,2.2,3,0.72,10.2,0.41,5,0.35,0.8,45,2.8,64,3.5,83,64,1,0.3,81,,,,,,

players,Kyrie,Irving,PG,28,190,195,2,72,2.6,4.7,0.90,13,0.43,6.2,0.39,1,94,3.5,93,6,80,70,1.3,0.5,96,SP,,,,,

players,Kevin,Durant,SF,31,210,240,2,75,3,6,0.88,12.5,0.43,5,0.36,0.6,95,6.1,75,5,85,60,1,1,80,,,,,,

players,DeAndre,Jordan,C,31,212,265,2,79,1.4,3,0.60,5.4,0.68,0.25,0.25,2.8,68,7.5,46,1.4,77,60,0.5,1.3,80,SP,,,,,

players,Spencer,Dinwiddie,PG,27,199.1,215,2,69,2.2,5.8,0.78,8.4,0.37,5.6,0.38,0.5,55,2.6,63,5.8,83,65,0.8,0.4,74,,,,,,

players,Garrett,Temple,SG,33,199.1,195,2,67,1,2.1,0.75,2.5,0.38,5.1,0.34,0.5,50,2.5,77,2.1,80,58,0.8,0.4,65,,,,,,

players,Rodions,Kurucs,PF,22,210,228,2,62,1,0.9,0.69,2.7,0.39,2,0.40,0.7,35,0.7,52,2,63,65,0.5,0.4,72,,,,,,

players,Wilson,Chandler,SF,32,207,235,2,68,1.2,1.4,0.81,7,0.37,3.6,0.33,0.7,45,4,52,1.4,72,57,0.6,0.5,80,,,,,,

players,Dzanan,Musa,SF,20,207,218,2,62,1,1.1,0.73,2.1,0.36,1.8,0.22,0.5,45,1.5,70,1,45,58,0.4,0.2,85,,,,,,

players,Nicolas,Â¨Claxton,C,20,212,215,2,64,0.8,1.5,0.60,2.8,0.33,0.8,0.28,1.3,34,1.6,30,1,68,68,0.4,0.8,64,R,,,,,

players,Theo,Pinson,SG,24,199,212,2,60,1,1,0.89,2.3,0.32,2.8,0.25,0.4,38,1.5,50,1.7,70,65,0.7,0.2,70,,,,,,

players,Timothe,Luwawu,SF,24,204,210,2,68,1,1.4,0.80,2.2,0.43,2.4,0.37,0.5,42,1.7,65,0.8,68,63,0.5,0.2,78,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

players,Bismack,Biyombo,C,27,203,255,3,79,1,3.1,0.60,4.9,0.53,0.15,0.25,2,40,4,35,0.7,66,65,0.3,1,65,,,,,,

players,Miles,Bridges,PF,22,198,225,3,70,1.2,1.7,0.79,6,0.42,4,0.34,1.2,44,4,65,1.6,75,70,0.7,0.7,80,,,,,,

players,PJ,Washington,SF,22,201,230,3,72,1.4,2.2,0.72,6.5,0.42,3.5,0.37,1,40,4,70,2,68,65,1,0.7,70,R,,,,,

players,Devonte,Graham,SG,25,185,195,3,68,2.4,3.1,0.81,4.5,0.38,6.8,0.36,0.6,62,2.5,70,5.5,73,73,1,0.3,68,,,,,,

players,Terry,Rozier,PG,25,185,190,3,71,1.7,2.7,0.84,7.3,0.43,5.5,0.38,0.7,48,3.4,64,3.5,65,63,1,0.3,71,,,,,,

players,Cody,Zeller,C,27,213,240,3,68,1.2,3,0.72,7.5,0.48,1,0.24,2.4,38,4.2,36,1.4,65,65,0.8,0.6,69,PT,,,,,

players,Nicolas,Batum,SG,31,206,230,3,69,1.4,1.5,0.87,4.6,0.33,3.3,0.33,1.1,58,3.8,54,3.4,70,60,1,0.5,66,,,,,,

players,Malik,Monk,PG,22,190,200,3,65,1.2,1.6,0.83,4.4,0.48,4,0.32,0.4,46,2,68,2,67,76,0.4,0.3,79,,,,,,

players,Willy,Hernangomez,C,26,211,250,3,65,1,2.8,0.64,5.2,0.57,1.3,0.30,1.6,28,2.9,26,0.9,64,70,0.5,0.5,56,,,,,,

players,Cody,Martin,SF,24,196,205,3,60,0.8,1.4,0.66,3.5,0.49,1.5,0.25,0.9,20,2.8,67,1.2,66,60,0.8,0.4,64,R,,,,,

players,Dwayne,Bacon,SG,24,198,221,3,64,0.8,1.6,0.70,4.8,0.40,2.2,0.32,0.4,33,2.3,69,1.2,66,60,0.6,0.2,67,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

players,Wendell,Carter JR,C,21,206,270,4,77,1.7,3.2,0.75,7.6,0.65,1,0.25,3,58,3,52,1.5,63,67,0.8,1,76,HH,,,,,

players,Lauri,Markkanen,PF,23,213,240,4,63,1.7,3.2,0.84,6.8,0.50,6.3,0.35,1.2,63,5.6,52,1.4,67,61,0.7,0.6,68,,,,,,

players,Zach,Lavine,SF,25,198,200,4,64,3,5,0.82,10.5,0.50,6.4,0.38,0.6,86,3.9,92,4,76,76,1.2,0.4,100,SP,,,,,

players,Tomas,Satoransky,PG,28,201,210,4,70,1.6,2.4,0.84,4.8,0.52,3.2,0.35,1,30,2.5,73,4.7,74,60,1.2,0.3,71,,,,,,

players,Kris,Dunn,PG,26,190,205,4,72,1.5,1.3,0.74,5.3,0.49,2,0.30,0.4,37,3.4,66,3.8,77,77,1.7,0.4,73,,,,,,

players,Otto,Porter Jr,SF,26,203,198,4,67,1,2.4,0.77,4.5,0.43,3.2,0.40,1.1,54,3.2,65,1.5,63,62,1,0.5,70,,,,,,

players,Thaddeus,Young,PF,31,203.5,235,4,68,1.4,2.1,0.64,8.4,0.47,2.8,0.36,1.7,59,3.6,46,1.8,75,60,1.4,0.4,66,,,,,,

players,Denzel,Valentine,SG,26,193,220,4,64,1,1.6,0.89,6.4,0.50,4.2,0.36,0.3,30,2.5,55,1.6,70,63,0.8,0.1,68,EX,,,,,

players,Coby,White,SG,20,193,195,4,67,1.4,2,0.80,6,0.42,5.4,0.35,0.4,45,3,63,2.3,70,69,1,0.2,80,R,,,,,

players,Daniel,Gafford,C,21,208,234,4,65,0.8,2.4,0.60,4.6,0.64,0.7,0.30,1.3,30,1.3,45,0.8,70,64,0.5,1.5,62,R,,,,,

players,Luke,Kornet,C,24,218,250,4,62,0.7,1.4,0.75,3.5,0.50,3.9,0.32,0.7,30,2,36,1,63,66,0.5,1,58,,,,,,

players,Shaquille,Harrison,SF,26,201,190,4,67,1,1.7,0.72,3.6,0.53,1.8,0.28,0.4,30,1.7,64,1.3,63,63,0.7,0.3,74,,,,,,

players,Ryan,Arcidiacono,PG,25,191,195,4,60,0.9,2.1,0.79,2.2,0.43,2.9,0.37,0.3,40,1.7,65,2,70,60,0.6,0.2,73,CG,,,,,

players,Chandler,Hutschinson,SF,23,201,210,4,64,1,2.2,0.62,4.9,0.54,2.4,0.30,0.7,36,3.3,64,1,65,65,0.8,0.3,74,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

players,Andre,Drummond,C,26,208,279,5,82,2.8,5,0.54,12.7,0.57,0.6,0.15,4.8,79,10.2,52,2,63,70,1.7,1.6,68,HH,,,,,

players,Kevin,Love,PF,31,203,251,5,70,2.2,4.6,0.84,7.5,0.53,5.7,0.37,1.9,70,8.6,62,2.7,75,63,0.7,0.7,71,,,,,,

players,Cedi,Osman,SF,24,201,230,5,67,1.2,3.2,0.68,6.3,0.50,5.3,0.37,0.5,50,3.4,69,2.6,60,65,0.7,0.3,73,,,,,,

players,Collin,Sexton,SG,21,185.1,190,5,70,2.2,3.6,0.85,12.7,0.53,3.8,0.37,0.8,63,2.2,73,2.2,83,65,1,0.2,85,,,,,,

players,Darius,Garland,PG,20,186,192,5,70,2.5,1.6,0.88,6.7,0.45,5.3,0.38,0.5,68,1.7,86,4,70,69,1,0.3,93,R,,,,,

players,Tristan,Thompson,PF,28,206,254,5,75,1.5,3,0.64,8.5,0.53,0.8,0.42,3.7,56,10,56,1.5,54,67,0.7,1,73,PT,,,,,

players,Kevin,Porter JR,SG,20,193,203,5,70,2,2.4,0.75,5.5,0.55,3.5,0.38,0.6,34,3,71,2.2,73,68,1.2,0.4,75,R,,,,,

players,Dante,Exum,PG,24,196,214,5,68,1.1,1.7,0.89,2.9,0.48,2.1,0.31,0.4,48,1.2,65,1.3,60,60,0.4,0.3,64,IH,,,,,

players,Larry,Nance Jr,PF,27,201,245,5,68,1,2.1,0.69,6.7,0.62,2.3,0.32,2,45,5,75,1.8,60,60,1,0.7,67,,,,,,

players,Dean,Wade,SF,23,206,228,5,62,0.6,0.8,0.78,1.8,0.48,2.3,0.40,0.5,38,3,64,0.5,65,65,0.4,0.4,73,R,,,,,

players,Ante,Zizic,C,23,208,266,5,61,0.7,2.4,0.80,4.5,0.60,0.25,0.25,1.2,30,2.5,40,0.5,62,66,0.3,0.5,62,,,,,,

players,Alfonso,McKinnie,SF,27,201,215,5,63,0.6,1.2,0.73,2.5,0.57,3.2,0.28,1,35,2,53,0.7,85,75,0.4,0.3,69,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

players,Dwight,Powell,C,28,208,240,6,69,1,3.6,0.70,5.5,0.53,1.7,0.28,1.7,45,3.5,45,1.3,66,70,1,0.7,68,,,,,,

players,Kristaps,Porzingis,PF,24,221,240,6,73,1.7,4.3,0.79,9.3,0.49,6,0.35,1.6,65,6.6,48,1.5,70,70,0.7,2,70,PT,,,,,

players,Dorian,Finney-Smith,SF,27,201,220,6,68,0.9,1.3,0.73,3.8,0.53,3.6,0.35,1.7,55,3.2,70,1.3,58,64,0.8,0.5,77,,,,,,

players,Tim,Hardaway JR,SG,28,196,205,6,62,1,2.4,0.81,5.5,0.49,6.2,0.38,0.3,60,2.5,68,2,50,63,0.6,0.2,73,EX,,,,,

players,Luka,Doncic,PG,20,201,230,6,69,4,8.4,0.75,10.5,0.60,8.4,0.33,1.3,90,7.7,85,7.8,85,75,1,0.3,85,SP,,,,,

players,Seth,Curry,SG,29,188,185,6,64,1,2.8,0.87,4.7,0.53,5.5,0.44,0.5,65,1.8,70,1.8,74,63,0.7,0.2,80,,,,,,

players,Jalen,Brunson,PG,23,185,190,6,65,1.2,1.5,0.79,5,0.54,2.2,0.36,0.4,44,2,74,3.2,80,62,0.5,0.2,82,,,,,,

players,Boban,Marjanovic,C,31,224,290,6,70,0.7,2.4,0.75,4.9,0.70,0.30,0.30,1.3,50,2.6,25,0.5,72,63,0.4,0.8,45,,,,,,

players,Justin,Jackson,SF,24,201,220,6,62,0.5,1,0.80,6,0.50,2.7,0.32,0.5,43,2.1,65,1,77,67,0.3,0.2,75,,,,,,

players,JJ,Barea,PG,35,178,180,6,60,1.5,1.9,0.90,5.9,0.49,3.7,0.40,0.4,40,2.2,60,4,70,58,0.5,0.1,70,CG,,,,,

players,Willie,Cauley-Stein,C,26,213,240,6,70,1,2,0.63,7,0.55,0.1,0.20,1.8,46,4.5,47,1.6,60,68,1,1,64,,,,,,

players,Michael,Kidd-Gilchrist,SF,26,198,230,6,72,0.8,1.6,0.75,5,0.45,1,0.29,1.2,35,3,52,1,70,67,0.5,0.4,68,,,,,,

players,Maxi,Kleber,PF,28,208,240,6,64,0.7,1.6,0.85,3.6,0.53,4.2,0.37,1.5,28,3.3,44,1,80,65,0.5,1,63,,,,,,

players,Delon,Wright,SG,27,196,183,6,66,1.4,2.2,0.80,4.6,0.45,2.2,0.35,1,39,2.6,61,3.4,74,68,1.3,0.7,71,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

players,Nikola,Jokic,C,25,213,284,7,70,2.7,4,0.82,12,0.57,3.2,0.34,2.7,67,7.3,24,6,60,65,1,0.7,59,SP,,,,,

players,Paul,Millsap,PF,35,201,257,7,73,1.5,3.5,0.79,8,0.53,2,0.40,2,65,4.5,56,2,70,60,1.1,1,78,,,,,,

players,Will,Barton,SF,29,196,181,7,67,1.4,2.3,0.77,7,0.50,4,0.36,1.1,47,4.2,64,3.1,72,64,1,0.5,80,CG,,,,,

players,Gary,Harris,SG,25,193,210,7,73,1.1,1.8,0.82,5.5,0.47,4,0.33,0.7,52,2.2,68,2.1,62,68,1.2,0.4,85,,,,,,

players,Jamal,Murray,PG,23,193,215,7,66,2.1,3.4,0.89,9.4,0.35,5.7,0.35,1,50,3,67,4.2,71,65,1.2,0.3,76,PT,,,,,

